region,year,month,rainfall_mm
ARUNACHAL PRADESH,1901,1,5.739304542541504
ARUNACHAL PRADESH,1901,2,5.681198596954346
ARUNACHAL PRADESH,1901,3,5.200733184814453
ARUNACHAL PRADESH,1901,4,5.461393356323242
ARUNACHAL PRADESH,1901,5,7.382935523986816
ARUNACHAL PRADESH,1901,6,7.765366077423096
ARUNACHAL PRADESH,1901,7,10.141090393066406
ARUNACHAL PRADESH,1901,8,8.664433479309082
ARUNACHAL PRADESH,1901,9,5.801128387451172
ARUNACHAL PRADESH,1901,10,3.8219804763793945
ARUNACHAL PRADESH,1901,11,6.435351371765137
ARUNACHAL PRADESH,1901,12,5.4611897468566895
ARUNACHAL PRADESH,1902,1,6.285006046295166
ARUNACHAL PRADESH,1902,2,5.266761779785156
ARUNACHAL PRADESH,1902,3,3.582451343536377
ARUNACHAL PRADESH,1902,4,6.465698719024658
ARUNACHAL PRADESH,1902,5,7.0203471183776855
ARUNACHAL PRADESH,1902,6,14.854620933532715
ARUNACHAL PRADESH,1902,7,10.27322769165039
ARUNACHAL PRADESH,1902,8,6.896122455596924
ARUNACHAL PRADESH,1902,9,7.440817832946777
ARUNACHAL PRADESH,1902,10,7.53941535949707
ARUNACHAL PRADESH,1902,11,6.220930099487305
ARUNACHAL PRADESH,1902,12,7.712496757507324
ARUNACHAL PRADESH,1903,1,6.867823600769043
ARUNACHAL PRADESH,1903,2,5.071903705596924
ARUNACHAL PRADESH,1903,3,6.839012145996094
ARUNACHAL PRADESH,1903,4,5.58895206451416
ARUNACHAL PRADESH,1903,5,5.168147087097168
ARUNACHAL PRADESH,1903,6,7.049704074859619
ARUNACHAL PRADESH,1903,7,4.908849239349365
ARUNACHAL PRADESH,1903,8,7.389410495758057
ARUNACHAL PRADESH,1903,9,10.196151733398438
ARUNACHAL PRADESH,1903,10,6.879778861999512
ARUNACHAL PRADESH,1903,11,7.353804588317871
ARUNACHAL PRADESH,1903,12,8.32211971282959
ARUNACHAL PRADESH,1904,1,5.4154052734375
ARUNACHAL PRADESH,1904,2,6.15309476852417
ARUNACHAL PRADESH,1904,3,6.8894782066345215
ARUNACHAL PRADESH,1904,4,7.992903232574463
ARUNACHAL PRADESH,1904,5,8.267162322998047
ARUNACHAL PRADESH,1904,6,7.570725917816162
ARUNACHAL PRADESH,1904,7,5.610225200653076
ARUNACHAL PRADESH,1904,8,8.847766876220703
ARUNACHAL PRADESH,1904,9,6.22318172454834
ARUNACHAL PRADESH,1904,10,5.021684646606445
ARUNACHAL PRADESH,1904,11,7.470300197601318
ARUNACHAL PRADESH,1904,12,4.628048896789551
ARUNACHAL PRADESH,1905,1,4.142516136169434
ARUNACHAL PRADESH,1905,2,5.81970739364624
ARUNACHAL PRADESH,1905,3,4.206434726715088
ARUNACHAL PRADESH,1905,4,6.636509418487549
ARUNACHAL PRADESH,1905,5,5.98185396194458
ARUNACHAL PRADESH,1905,6,5.029911994934082
ARUNACHAL PRADESH,1905,7,5.921483993530273
ARUNACHAL PRADESH,1905,8,3.5944297313690186
ARUNACHAL PRADESH,1905,9,7.55857515335083
ARUNACHAL PRADESH,1905,10,5.3868489265441895
ARUNACHAL PRADESH,1905,11,6.518167018890381
ARUNACHAL PRADESH,1905,12,5.166083335876465
ARUNACHAL PRADESH,1906,1,6.826312065124512
ARUNACHAL PRADESH,1906,2,5.756525039672852
ARUNACHAL PRADESH,1906,3,3.8723931312561035
ARUNACHAL PRADESH,1906,4,5.125782489776611
ARUNACHAL PRADESH,1906,5,5.510247230529785
ARUNACHAL PRADESH,1906,6,6.802255630493164
ARUNACHAL PRADESH,1906,7,8.083684921264648
ARUNACHAL PRADESH,1906,8,6.196376800537109
ARUNACHAL PRADESH,1906,9,6.475122451782227
ARUNACHAL PRADESH,1906,10,5.822990894317627
ARUNACHAL PRADESH,1906,11,6.627177715301514
ARUNACHAL PRADESH,1906,12,6.702333450317383
ARUNACHAL PRADESH,1907,1,8.80366325378418
ARUNACHAL PRADESH,1907,2,6.566056728363037
ARUNACHAL PRADESH,1907,3,4.906321048736572
ARUNACHAL PRADESH,1907,4,5.361005783081055
ARUNACHAL PRADESH,1907,5,7.634913921356201
ARUNACHAL PRADESH,1907,6,7.183838844299316
ARUNACHAL PRADESH,1907,7,5.113701343536377
ARUNACHAL PRADESH,1907,8,4.4043684005737305
ARUNACHAL PRADESH,1907,9,4.325531005859375
ARUNACHAL PRADESH,1907,10,3.9145233631134033
ARUNACHAL PRADESH,1907,11,5.965487957000732
ARUNACHAL PRADESH,1907,12,7.826286792755127
ARUNACHAL PRADESH,1908,1,5.564914703369141
ARUNACHAL PRADESH,1908,2,5.896413326263428
ARUNACHAL PRADESH,1908,3,6.140095233917236
ARUNACHAL PRADESH,1908,4,7.6917266845703125
ARUNACHAL PRADESH,1908,5,6.4013800621032715
ARUNACHAL PRADESH,1908,6,10.597185134887695
ARUNACHAL PRADESH,1908,7,8.617955207824707
ARUNACHAL PRADESH,1908,8,6.3864545822143555
ARUNACHAL PRADESH,1908,9,5.816917419433594
ARUNACHAL PRADESH,1908,10,8.335902214050293
ARUNACHAL PRADESH,1908,11,4.9944634437561035
ARUNACHAL PRADESH,1908,12,7.065463066101074
ARUNACHAL PRADESH,1909,1,5.250945091247559
ARUNACHAL PRADESH,1909,2,6.25429630279541
ARUNACHAL PRADESH,1909,3,11.574929237365723
ARUNACHAL PRADESH,1909,4,6.720770835876465
ARUNACHAL PRADESH,1909,5,6.219284534454346
ARUNACHAL PRADESH,1909,6,7.644017219543457
ARUNACHAL PRADESH,1909,7,6.668811321258545
ARUNACHAL PRADESH,1909,8,9.448162078857422
ARUNACHAL PRADESH,1909,9,9.79677677154541
ARUNACHAL PRADESH,1909,10,7.193329811096191
ARUNACHAL PRADESH,1909,11,7.051638603210449
ARUNACHAL PRADESH,1909,12,8.71023178100586
ARUNACHAL PRADESH,1910,1,11.007708549499512
ARUNACHAL PRADESH,1910,2,8.963563919067383
ARUNACHAL PRADESH,1910,3,8.213173866271973
ARUNACHAL PRADESH,1910,4,7.305794715881348
ARUNACHAL PRADESH,1910,5,4.22206974029541
ARUNACHAL PRADESH,1910,6,7.470321178436279
ARUNACHAL PRADESH,1910,7,8.53037166595459
ARUNACHAL PRADESH,1910,8,8.102261543273926
ARUNACHAL PRADESH,1910,9,4.445920467376709
ARUNACHAL PRADESH,1910,10,8.54301643371582
ARUNACHAL PRADESH,1910,11,8.493789672851562
ARUNACHAL PRADESH,1910,12,8.185068130493164
ARUNACHAL PRADESH,1911,1,6.042148113250732
ARUNACHAL PRADESH,1911,2,7.288295269012451
ARUNACHAL PRADESH,1911,3,9.09555721282959
ARUNACHAL PRADESH,1911,4,9.348272323608398
ARUNACHAL PRADESH,1911,5,7.631621360778809
ARUNACHAL PRADESH,1911,6,8.352946281433105
ARUNACHAL PRADESH,1911,7,9.057465553283691
ARUNACHAL PRADESH,1911,8,10.104605674743652
ARUNACHAL PRADESH,1911,9,8.481407165527344
ARUNACHAL PRADESH,1911,10,11.712315559387207
ARUNACHAL PRADESH,1911,11,10.918655395507812
ARUNACHAL PRADESH,1911,12,9.666522979736328
ARUNACHAL PRADESH,1912,1,6.193789958953857
ARUNACHAL PRADESH,1912,2,9.299812316894531
ARUNACHAL PRADESH,1912,3,11.106802940368652
ARUNACHAL PRADESH,1912,4,6.7953200340271
