region,year,month,temperature_celsius
AllIndia,1901,1,19.32
AllIndia,1901,2,20.89
AllIndia,1901,3,24.95
AllIndia,1901,4,28.22
AllIndia,1901,5,29.76
AllIndia,1901,6,29.85
AllIndia,1901,7,28.24
AllIndia,1901,8,27.33
AllIndia,1901,9,27.23
AllIndia,1901,10,26.33
AllIndia,1901,11,22.92
AllIndia,1901,12,20.05
AllIndia,1902,1,20.17
AllIndia,1902,2,21.58
AllIndia,1902,3,25.73
AllIndia,1902,4,28.15
AllIndia,1902,5,30.0
AllIndia,1902,6,29.47
AllIndia,1902,7,27.99
AllIndia,1902,8,27.71
AllIndia,1902,9,26.76
AllIndia,1902,10,25.33
AllIndia,1902,11,22.43
AllIndia,1902,12,19.77
AllIndia,1903,1,19.28
AllIndia,1903,2,20.71
AllIndia,1903,3,23.92
AllIndia,1903,4,27.67
AllIndia,1903,5,29.47
AllIndia,1903,6,29.53
AllIndia,1903,7,28.32
AllIndia,1903,8,27.16
AllIndia,1903,9,27.0
AllIndia,1903,10,25.69
AllIndia,1903,11,22.01
AllIndia,1903,12,19.3
AllIndia,1904,1,19.19
AllIndia,1904,2,20.32
AllIndia,1904,3,24.41
AllIndia,1904,4,28.11
AllIndia,1904,5,29.17
AllIndia,1904,6,28.8
AllIndia,1904,7,27.36
AllIndia,1904,8,27.26
AllIndia,1904,9,26.84
AllIndia,1904,10,25.67
AllIndia,1904,11,22.16
AllIndia,1904,12,19.86
AllIndia,1905,1,18.34
AllIndia,1905,2,18.37
AllIndia,1905,3,23.15
AllIndia,1905,4,26.26
AllIndia,1905,5,29.73
AllIndia,1905,6,29.87
AllIndia,1905,7,28.13
AllIndia,1905,8,27.65
AllIndia,1905,9,27.16
AllIndia,1905,10,26.35
AllIndia,1905,11,23.24
AllIndia,1905,12,19.79
AllIndia,1906,1,19.05
AllIndia,1906,2,20.45
AllIndia,1906,3,23.59
AllIndia,1906,4,28.04
AllIndia,1906,5,30.55
AllIndia,1906,6,29.01
AllIndia,1906,7,27.95
AllIndia,1906,8,27.19
AllIndia,1906,9,26.99
AllIndia,1906,10,25.81
AllIndia,1906,11,23.04
AllIndia,1906,12,20.47
AllIndia,1907,1,20.28
AllIndia,1907,2,20.75
AllIndia,1907,3,23.53
AllIndia,1907,4,27.1
AllIndia,1907,5,28.95
AllIndia,1907,6,28.91
AllIndia,1907,7,28.1
AllIndia,1907,8,26.89
AllIndia,1907,9,27.06
AllIndia,1907,10,26.0
AllIndia,1907,11,23.16
AllIndia,1907,12,19.48
AllIndia,1908,1,19.2
AllIndia,1908,2,21.03
AllIndia,1908,3,24.32
AllIndia,1908,4,28.72
AllIndia,1908,5,29.54
AllIndia,1908,6,29.58
