YEAR,MONTH,REGION,TEMPERATURE,RAINFALL,ANOMALY
1901,1,ANDAMAN & NICOBAR ISLANDS,19.32,49.2,1
1901,2,ANDAMAN & NICOBAR ISLANDS,20.89,87.1,1
1901,3,ANDAMAN & NICOBAR ISLANDS,24.95,29.2,1
1901,4,ANDAMAN & NICOBAR ISLANDS,28.22,2.3,1
1901,5,ANDAMAN & NICOBAR ISLANDS,29.76,528.8,1
1901,6,ANDAMAN & NICOBAR ISLANDS,29.85,517.5,1
1901,7,ANDAMAN & NICOBAR ISLANDS,28.24,365.1,1
1901,8,ANDAMAN & NICOBAR ISLANDS,27.33,481.1,1
1901,9,ANDAMAN & NICOBAR ISLANDS,27.23,332.6,1
1901,10,ANDAMAN & NICOBAR ISLANDS,26.33,388.5,1
1901,11,ANDAMAN & NICOBAR ISLANDS,22.92,558.2,1
1901,12,ANDAMAN & NICOBAR ISLANDS,20.05,33.6,1
1902,1,ANDAMAN & NICOBAR ISLANDS,20.17,0.0,1
1902,2,ANDAMAN & NICOBAR ISLANDS,21.58,159.8,1
1902,3,ANDAMAN & NICOBAR ISLANDS,25.73,12.2,1
1902,4,ANDAMAN & NICOBAR ISLANDS,28.15,0.0,1
1902,5,ANDAMAN & NICOBAR ISLANDS,30.0,446.1,1
1902,6,ANDAMAN & NICOBAR ISLANDS,29.47,537.1,1
1902,7,ANDAMAN & NICOBAR ISLANDS,27.99,228.9,1
1902,8,ANDAMAN & NICOBAR ISLANDS,27.71,753.7,1
1902,9,ANDAMAN & NICOBAR ISLANDS,26.76,666.2,1
1902,10,ANDAMAN & NICOBAR ISLANDS,25.33,197.2,1
1902,11,ANDAMAN & NICOBAR ISLANDS,22.43,359.0,1
1902,12,ANDAMAN & NICOBAR ISLANDS,19.77,160.5,1
1903,1,ANDAMAN & NICOBAR ISLANDS,19.28,12.7,1
1903,2,ANDAMAN & NICOBAR ISLANDS,20.71,144.0,1
1903,3,ANDAMAN & NICOBAR ISLANDS,23.92,0.0,1
1903,4,ANDAMAN & NICOBAR ISLANDS,27.67,1.0,1
1903,5,ANDAMAN & NICOBAR ISLANDS,29.47,235.1,1
1903,6,ANDAMAN & NICOBAR ISLANDS,29.53,479.9,1
1903,7,ANDAMAN & NICOBAR ISLANDS,28.32,728.4,1
1903,8,ANDAMAN & NICOBAR ISLANDS,27.16,326.7,1
1903,9,ANDAMAN & NICOBAR ISLANDS,27.0,339.0,1
1903,10,ANDAMAN & NICOBAR ISLANDS,25.69,181.2,1
1903,11,ANDAMAN & NICOBAR ISLANDS,22.01,284.4,1
1903,12,ANDAMAN & NICOBAR ISLANDS,19.3,225.0,1
1904,1,ANDAMAN & NICOBAR ISLANDS,19.19,9.4,1
1904,2,ANDAMAN & NICOBAR ISLANDS,20.32,14.7,1
1904,3,ANDAMAN & NICOBAR ISLANDS,24.41,0.0,1
1904,4,ANDAMAN & NICOBAR ISLANDS,28.11,202.4,1
1904,5,ANDAMAN & NICOBAR ISLANDS,29.17,304.5,1
1904,6,ANDAMAN & NICOBAR ISLANDS,28.8,495.1,1
1904,7,ANDAMAN & NICOBAR ISLANDS,27.36,502.0,1
1904,8,ANDAMAN & NICOBAR ISLANDS,27.26,160.1,1
1904,9,ANDAMAN & NICOBAR ISLANDS,26.84,820.4,1
1904,10,ANDAMAN & NICOBAR ISLANDS,25.67,222.2,1
1904,11,ANDAMAN & NICOBAR ISLANDS,22.16,308.7,1
1904,12,ANDAMAN & NICOBAR ISLANDS,19.86,40.1,1
1905,1,ANDAMAN & NICOBAR ISLANDS,18.34,1.3,1
1905,2,ANDAMAN & NICOBAR ISLANDS,18.37,0.0,1
1905,3,ANDAMAN & NICOBAR ISLANDS,23.15,3.3,1
1905,4,ANDAMAN & NICOBAR ISLANDS,26.26,26.9,1
1905,5,ANDAMAN & NICOBAR ISLANDS,29.73,279.5,1
1905,6,ANDAMAN & NICOBAR ISLANDS,29.87,628.7,1
1905,7,ANDAMAN & NICOBAR ISLANDS,28.13,368.7,1
1905,8,ANDAMAN & NICOBAR ISLANDS,27.65,330.5,1
1905,9,ANDAMAN & NICOBAR ISLANDS,27.16,297.0,1
1905,10,ANDAMAN & NICOBAR ISLANDS,26.35,260.7,1
1905,11,ANDAMAN & NICOBAR ISLANDS,23.24,25.4,1
1905,12,ANDAMAN & NICOBAR ISLANDS,19.79,344.7,1
1906,1,ANDAMAN & NICOBAR ISLANDS,19.05,36.6,1
1906,2,ANDAMAN & NICOBAR ISLANDS,20.45,0.0,1
1906,3,ANDAMAN & NICOBAR ISLANDS,23.59,0.0,1
1906,4,ANDAMAN & NICOBAR ISLANDS,28.04,0.0,1
1906,5,ANDAMAN & NICOBAR ISLANDS,30.55,556.1,1
1906,6,ANDAMAN & NICOBAR ISLANDS,29.01,733.3,1
1906,7,ANDAMAN & NICOBAR ISLANDS,27.95,247.7,1
1906,8,ANDAMAN & NICOBAR ISLANDS,27.19,320.5,1
1906,9,ANDAMAN & NICOBAR ISLANDS,26.99,164.3,1
1906,10,ANDAMAN & NICOBAR ISLANDS,25.81,267.8,1
1906,11,ANDAMAN & NICOBAR ISLANDS,23.04,128.9,1
1906,12,ANDAMAN & NICOBAR ISLANDS,20.47,79.2,1
1907,1,ANDAMAN & NICOBAR ISLANDS,20.28,110.7,1
